施打站縣市,施打站全稱,施打站行政區,施打站地址,預約電話,施打站經度,施打站緯度
屏東縣,衛生福利部屏東醫院,屏東市,900台灣屏東縣屏東市自由路270號,08 736 3011,120.4955887,22.6734734
屏東縣,屏基醫療財團法人屏東基督教醫院,屏東市,90053台灣屏東縣屏東市大連路60號,08 736 8686,120.502622,22.682129
屏東縣,寶建醫療社團法人寶建醫院,屏東市,900台灣屏東縣屏東市中山路123號,08 766 5995,120.4843063,22.6816044
屏東縣,安泰醫療社團法人安泰醫院,東港鎮,928台灣屏東縣東港鎮中正路一段210號,08 832 9966,120.4591101,22.4742761
屏東縣,輔英科技大學附設醫院,東港鎮,928台灣屏東縣東港鎮中山路5號,08 832 3146#1280,120.4529033,22.4652753
屏東縣,枋寮醫療社團法人枋寮醫院急診室,枋寮鄉,940台灣屏東縣枋寮鄉中山路139號,08 878 9556,120.5965335,22.3639491
屏東縣,潮州安泰醫院,潮州鎮,920台灣屏東縣潮州鎮四維路162號,08 780 0888,120.5470684,22.5539751
屏東縣,恆基醫療財團法人恆春基督教醫院,恆春鎮,946台灣屏東縣恆春鎮恆西路21號,08 889 2293,120.7410889,22.0023556
屏東縣,國軍高雄總醫院屏東分院,屏東市,900台灣屏東縣屏東市大湖路58巷22號,08 756 0756,120.487487,22.633664
屏東縣,高雄榮民總醫院屏東分院,內埔鄉,912台灣屏東縣內埔鄉昭勝路安平1巷1號,08 770 4115,120.5990661,22.6744975
屏東縣,國仁醫院,屏東市,900台灣屏東縣屏東市民生東路12-2號,08 722 3000,120.514549,22.658315
屏東縣,衛生福利部恆春旅遊醫院,恆春鎮,946台灣屏東縣恆春鎮恆南路188號,08 889 2704,120.7448248,21.99913
屏東縣,南門醫院,東區,300台灣新竹市東區林森路20號,03 526 1122,120.7453672,22.0009266
屏東縣,大新醫院,高樹鄉,906台灣屏東縣高樹鄉興中路208號,08 796 0833,120.599612,22.823793
屏東縣,九如鄉衛生所,九如鄉,904台灣屏東縣九如鄉九如路二段247號,08 739 2006,120.4891334,22.7360737
屏東縣,麟洛鄉衛生所,麟洛鄉,909台灣屏東縣麟洛鄉中山路156-1號,08 722 1152,120.527481,22.651012
屏東縣,恆春鎮衛生所,恆春鎮,946台灣屏東縣恆春鎮文化路78號,08 889 2140,120.7468942,22.0031454
屏東縣,高樹鄉衛生所,高樹鄉,906台灣屏東縣高樹鄉南昌路12之2號,08 796 2026,120.5942404,22.8169764
屏東縣,鹽埔鄉衛生所,鹽埔鄉,907台灣屏東縣鹽埔鄉勝利路187號,08 793 2474,120.578127,22.760069
屏東縣,萬巒鄉衛生所,萬巒鄉,923台灣屏東縣萬巒鄉褒忠路14-2號,08 781 1794,120.5744669,22.5717121
屏東縣,竹田鄉衛生所,竹田鄉,911台灣屏東縣竹田鄉中山路25號,08 771 2434,120.5431223,22.5863186
屏東縣,新埤鄉衛生所,新埤鄉,925台灣屏東縣新埤鄉中正路38號,08 797 1090,120.5500341,22.4702257
屏東縣,恆春鎮衛生所,恆春鎮,946台灣屏東縣恆春鎮文化路78號,08 889 2140,120.7468942,22.0031454
屏東縣,崁頂鄉衛生所,崁頂鄉,924台灣屏東縣崁頂鄉興農路29-9號924,08 863 1454,120.5072777,22.514695
屏東縣,林邊鄉衛生所,林邊鄉,927台灣屏東縣林邊鄉,08 875 2076,120.5094066,22.4311188
屏東縣,南州鄉衛生所,南州鄉,926台灣屏東縣南州鄉,08 864 2224,120.503041,22.486193
屏東縣,琉球鄉衛生所,琉球鄉,92941台灣屏東縣琉球鄉中山路51號,08 861 2513,120.378361,22.348382
屏東縣,滿州鄉衛生所,滿州鄉,947台灣屏東縣滿州鄉中山路31號947,08 880 1279,120.838033,22.018626
屏東縣,枋山鄉衛生所,枋山鄉,941台灣屏東縣枋山鄉,08 876 1150,120.6527144,22.2647981
屏東縣,三地門鄉衛生所,三地門鄉,901台灣屏東縣三地門鄉行政街4號,08 799 1284,120.6534,22.714605
屏東縣,瑪家鄉衛生所,瑪家鄉,903台灣屏東縣瑪家鄉風景巷86號903,08 799 1164,120.6499025,22.7088185
屏東縣,霧台鄉衛生所,霧台鄉,902台灣屏東縣霧台鄉神山巷68號,08 790 2232,120.7260629,22.7498124
屏東縣,泰武鄉衛生所,泰武鄉,921台灣屏東縣泰武鄉921179號,08 783 2059,120.6327079,22.592124
屏東縣,春日鄉衛生所,春日鄉,942台灣屏東縣春日鄉春日路176號942,08 878 0358,120.6252449,22.370192
屏東縣,獅子鄉衛生所,獅子鄉,943台灣屏東縣獅子鄉楓林二巷32號,08 877 1324,120.7046558,22.2019349
屏東縣,牡丹鄉衛生所,牡丹鄉,945台灣屏東縣牡丹鄉,08 883 1013,120.774176,22.1254161
屏東縣,來義鄉衛生所,來義鄉,922台灣屏東縣來義鄉南和路153號,08 879 1228,120.6319977,22.5258209
屏東縣,優生婦產科醫院,屏東市,900台灣屏東縣屏東市瑞光路三段103號,08 738 2222,120.5038553,22.6860494
屏東縣,安和醫院,屏東市,90064台灣屏東縣屏東市自由路598號,08 765 1828,120.4836256,22.6834125
屏東縣,瑪家鄉三和社區集會所(7/2~7/3),,,,120.6090775,22.7029522
