施打站縣市,施打站行政區,施打站全稱,接種時間,施打站地址,預約電話,官方預約連結,可預約,疫苗種類
桃園市,平鎮區,秉坤婦幼醫院,依院所公告,桃園市平鎮區延平路二段129號,03-4025866,,False,['Moderna']
桃園市,龜山區,連淑芳小兒科診所,依診所公告,桃園市龜山區萬壽路二段957號,03-3599696,,False,['Moderna']
桃園市,桃園區,愛兒親子診所,依診所公告,桃園市桃園區慈文路192號,03-3554766,,False,['Moderna']
桃園市,平鎮區,維賢診所,依院所公告,桃園市平鎮區和平路123號,03-4683636,,False,['Moderna']
桃園市,新屋區,佑生小兒科診所,依預約網站公告,桃園市新屋區新屋里中正路48號,03-4773161,https://bookvaccine-tycg.surveycake.biz/s/omGq3,True,['Moderna']
桃園市,桃園區,孫德金小兒科診所,依診所公告,桃園市桃園區桃鶯路209號1樓,03-3778759,,True,['Moderna']
桃園市,桃園區,禾馨桃園婦幼診所,依診所公告(臉書：禾馨桃園婦幼診所暨產後護理之家),桃園市桃園區經國二路36號,03-3465333,,False,"['AZ', 'Moderna']"
桃園市,平鎮區,怡家診所,依診所公告,桃園市平鎮區民族路三段91號,03-4910061,https://bookvaccine-tycg.surveycake.biz/s/yvr8V,True,['Moderna']
桃園市,桃園區,奕恩小兒科,依診所公告,桃園市桃園區天祥三街36號,03-3571580,,False,['Moderna']
桃園市,中壢區,自立診所,週二、四、六8:30-12:00,桃園市中壢區永福路1051號,03-2853377,,False,['AZ']
桃園市,桃園區,李柏鋒診所,週一~六下午3點-5點,桃園市桃園區中山路807號,03-2207480,,False,['Moderna']
桃園市,桃園區,聖昌診所,週二、四早上9-12點,桃園市桃園區大業路一段318號,0906969665,,False,['Moderna']
桃園市,蘆竹區,日康診所,接種日：二、三、六下午2點-3點30分分流報到,桃園市蘆竹區桃園街82號,03-2129797,,False,['Moderna']
桃園市,楊梅區,建東專科診所,周一周六早診9點起、周二、三、五下午3點30分起、周四晚上6點30分起,桃園市楊梅區大成路66號,03-4757716,,False,['AZ']
桃園市,楊梅區,揚昇小兒科診所,依診所公告(週一至週日早上8點30分~10點30分）,桃園市楊梅區環東路461號,03-4755595,,False,['AZ']
桃園市,桃園區,合康診所,星期一至六早上11點,桃園市桃園區國際路二段10號,03-3703009,,True,['Moderna']
桃園市,楊梅區,楊明小兒科診所,依診所公告(週一至週六早上8點30分-11點、下午1點30分-4點),桃園市楊梅區新農街551號,03-4854580,,False,['Moderna']
桃園市,中壢區,德祐診所,週一~週六下午2點-3點,桃園市中壢區榮民路10號,03-4353371,,False,"['AZ', 'Moderna']"
桃園市,楊梅區,育勝診所,依診所公告(週二至週五下午3點-5點45分、晚上6點30分-8點45分),桃園市楊梅區金德路10號1樓,03-4850226,,True,['AZ']
桃園市,龍潭區,龍潭敏盛醫院,依照臉書官方粉絲團公告https://www.facebook.com/longtanminsheng/,桃園市龍潭區中豐路168號,03-4794151,,False,"['AZ', 'Moderna']"
桃園市,楊梅區,弘仁小兒科診所,週一到週六下午2點30分-晚間8點30分,桃園市楊梅區新成路51號,03-4882255,https://bookvaccine-tycg.surveycake.biz/s/m2GZq,True,"['AZ', 'Moderna']"
桃園市,桃園區,蘇裕哲診所,禮拜一、三、四、五下午3點,桃園市桃園區國鼎一街36號,03-3692335,,True,"['AZ', 'Moderna']"
桃園市,楊梅區,宏彥親子耳鼻喉科診所,依診所公告(週一至週五下午1點30分-2點),桃園市楊梅區大成路50號,03-4881526,https://m.facebook.com/HongyenENT/,True,['AZ']
桃園市,中壢區,佳國耳鼻喉科診所,周一~周五現場查詢造冊,桃園市中壢區中北路47號,03-4664735,,True,['Moderna']
桃園市,中壢區,懷寧醫院,依預約網站公告,桃園市中壢區志廣路119號,03-4919119,,False,"['AZ', 'Moderna']"
桃園市,中壢區,王小兒科診所,依預約網站公告,桃園市中壢區慈惠三街117號,03-4227449,,False,['Moderna']
桃園市,中壢區,黃曉生小兒科診所,依臉書專頁公告,桃園市中壢區環中東路41號,03-4552725,,False,"['AZ', 'Moderna']"
桃園市,中壢區,青禾診所,依診所公告,桃園市中壢區高鐵南路二段225號,03-2875939,,False,"['AZ', 'Moderna']"
桃園市,中壢區,心安診所,依診所公告,桃園市中壢區新中北路二段487號,03-4518808,,True,['AZ']
桃園市,中壢區,忠孝診所,依診所公告,桃園市中壢區忠孝路75號,03-4630063,,False,['AZ']
桃園市,中壢區,長春診所,依診所公告,桃園市中壢區長春路122號,03-4331309,,True,['AZ']
桃園市,楊梅區,楊梅天成醫院,依預約網站公告,桃園市楊梅區中山北路一段356號,03-4782350,http://www.tcmg.com.tw/ym/register/register_1_detail.php?deptID=0089&deptName=Covid-19%E7%96%AB%E8%8B%97%E6%8E%A5%E7%A8%AE%E9%96%80%E8%A8%BA,True,"['AZ', 'Moderna']"
桃園市,楊梅區,怡仁綜合醫院,依預約網站公告,桃園市楊梅區楊新北路321巷30號,03-4855500,,False,"['AZ', 'Moderna']"
桃園市,八德區,羅久勝小兒專科診所,依診所臉書公告,桃園市八德區忠勇六街5號,03-3750237,,False,['AZ']
桃園市,八德區,介壽診所,依診所公告,桃園市八德區介壽路一段863號1樓、865號1樓,03-3677787,,False,['AZ']
桃園市,八德區,廣德診所,依診所公告,桃園市八德區介壽路一段942-1號,03-3623886,,False,['AZ']
桃園市,八德區,李淵順小兒科診所,依診所臉書＆部落格公告,桃園市八德區和義街15號,03-3761123,,False,['Moderna']
桃園市,平鎮區,聯新國際醫院,依預約網站公告,桃園市平鎮區廣泰路77號,03-4931010,https://ssl.landseed.com.tw/lishin/reg/reg.php,True,"['AZ', 'Moderna']"
桃園市,平鎮區,宋俊宏婦幼醫院,依預約網站公告,桃園市平鎮區民族路199號,03-4020999,,False,['Moderna']
桃園市,平鎮區,河助璽恒診所,依診所公告,桃園市平鎮區延平路二段30號,03-4927588,,False,"['AZ', 'Moderna']"
桃園市,龍潭區,國家中山科學研究院石園診所,依預約網站公告,桃園市龍潭區文化路6巷35號,03-4712109,https://www.shiyuanpolyclinic.com/,True,['AZ']
桃園市,大園區,聯新國際醫院桃園國際機場醫療中心,依預約網站公告,桃園市大園區航站南路15號出境大廳B1,03-3983456,http://airport.landseedhospital.com.tw/airport-clinic/about/index.php,True,['AZ']
桃園市,新屋區,衛生福利部桃園醫院新屋分院,依預約網站公告,桃園市新屋區新屋村14鄰新福二路6號,03-4971989,https://swnetreg.tygh.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0125&Date=&Noon,True,"['AZ', 'Moderna']"
桃園市,龍潭區,國軍桃園總醫院附設民眾診療服務處,依預約網站公告,桃園市龍潭區中興里中興路168號,03-4799595,https://www.aftygh.gov.tw/category/newslist01/,True,"['AZ', 'Moderna']"
桃園市,中壢區,陳瑞祥診所,依診所公告,桃園市中壢區福州二街475號,03-4616600,,True,['AZ']
桃園市,楊梅區,伍建鴻診所,依診所公告,桃園市楊梅區中興路74號,03-4317549,,True,['AZ']
桃園市,觀音區,健群診所,依診所公告,桃園市觀音區中正路242號,0986602033,,False,['AZ']
桃園市,中壢區,康庭診所,依診所公告,桃園市中壢區莊敬路811巷6號,03-4336633,,False,['Moderna']
桃園市,龜山區,長庚醫療財團法人林口長庚紀念醫院,依預約網站公告,桃園市龜山區公西里復興街5號,03-3281200,https://register.cgmh.org.tw/Department/3/30990D,True,"['AZ', 'Moderna']"
桃園市,龜山區,長庚醫療財團法人桃園長庚紀念醫院,依預約網站公告,桃園市龜山區舊路里頂湖路123號,03-3196200,https://register.cgmh.org.tw/Register/5,True,"['AZ', 'Moderna']"
桃園市,蘆竹區,國欣診所,依診所公告,桃園市蘆竹區中山街143號1樓,03-2127368,,False,['Moderna']
桃園市,中壢區,葉欽池小兒科診所,依臉書專頁公告,桃園市中壢區延平路553號,03-4222376,,False,['Moderna']
桃園市,平鎮區,立群診所,依診所公告,桃園市平鎮區中豐路山頂段27號,03-4192312,,False,['Moderna']
桃園市,大園區,大園敏盛醫院,依預約網站公告,桃園市大園區華中街2號,03-3867521,https://bit.ly/3685GAu,True,['Moderna']
桃園市,平鎮區,新安診所,依診所公告,桃園市平鎮區中豐路208號,03-4683553,,False,['Moderna']
桃園市,中壢區,敦仁診所,依診所公告,桃園市中壢區忠孝路18號,網路預約,,True,['Moderna']
桃園市,中壢區,黃志焜診所,依診所公告,桃園市中壢區慈惠三街135號,03-4277860,,False,['Moderna']
桃園市,平鎮區,聯恩診所,依診所公告,桃園市平鎮區中豐路南勢二段102號,03-4395633,,True,['Moderna']
桃園市,中壢區,進華小兒科診所,依診所公告,桃園市中壢區健行路226號,03-4685858,,False,['Moderna']
桃園市,中壢區,維坤診所,依診所公告,桃園市中壢區健行路226號,03-4685858,,False,['Moderna']
桃園市,龜山區,陳完任家庭醫學科診所,依診所公告,桃園市龜山區自強東路190號,03-3508373,,True,['Moderna']
桃園市,龜山區,蕭大章診所,依診所公告,桃園市龜山區萬壽路二段990號,03-3201860,,False,['Moderna']
桃園市,中壢區,健興診所,依診所公告,桃園市中壢區忠孝路80號,03-4630526,,True,['Moderna']
桃園市,中壢區,敏昌診所,依診所公告,桃園市中壢區福德路32號,03-4550348,,True,['Moderna']
桃園市,中壢區,中壢長榮醫院,依醫院網頁公告,桃園市中壢區環中東路150號,03-4631230,http://www.egh.com.tw/,True,['Moderna']
桃園市,龜山區,鴻興診所,依診所公告,桃園市龜山區中興路377號1、2樓,03-3205575,,False,['Moderna']
桃園市,八德區,陳坤荃小兒科診所,依診所公告,桃園市八德區介壽路一段812號,03-3677476,,False,['Moderna']
桃園市,中壢區,鄭朝強小兒科,依診所公告,桃園市中壢區元化路226號,03-4258789,,True,['Moderna']
桃園市,桃園區,永欣診所,依診所公告,桃園市桃園區大興路193號1樓,03-3587669,,False,['Moderna']
桃園市,桃園區,謝秋梅診所,依診所公告,桃園市桃園區大有路428號1樓,03-3151100,,False,['Moderna']
桃園市,桃園區,桃庚聯合診所,依診所公告,桃園市桃園區國際路二段38號,03-3705119,,False,['Moderna']
桃園市,桃園區,鴻林耳鼻喉科診所,依診所公告,桃園市桃園區中正路567號,03-3377088,,True,['Moderna']
桃園市,中壢區,周龍生婦產科診所,依診所公告,桃園市中壢區元生三街168號,03-4515258,,False,['Moderna']
桃園市,中壢區,聯心診所,依診所公告,桃園市中壢區民族路五段310號,03-4205017,,True,['Moderna']
桃園市,中壢區,康平診所,依診所公告,桃園市中壢區中山東路三段286號1樓288號1樓,03-4560770,,True,['Moderna']
桃園市,桃園區,明欣診所,原則上每週一、五下午，詳見診所臉書公告,桃園市桃園區南平路206號之2號,03-3169189,,False,['Moderna']
桃園市,桃園區,良祐診所,依診所公告,桃園市桃園區南平路518號,03-3163335,,False,['Moderna']
桃園市,桃園區,佳祐診所,每週二、四、六下午,桃園市桃園區復興路402號,03-3382280,,False,['Moderna']
桃園市,桃園區,家恩診所,星期二、四下午,桃園市桃園區桃智路12號,03-3632300,,False,['Moderna']
桃園市,桃園區,全家親子診所,依診所公告,桃園市桃園區中正路605號,03-3358585,,False,['Moderna']
桃園市,中壢區,陳秋芬親子診所,依診所公告,桃園市中壢區文化路359號1樓,03-4552661,,False,['Moderna']
桃園市,桃園區,曹景雄小兒科診所,依診所公告,桃園市桃園區延平路113號,03-2183142,,False,['Moderna']
桃園市,桃園區,禾安診所,依診所公告,桃園市桃園區延平路115號,03-3661661,,False,['Moderna']
桃園市,桃園區,吉兒診所,依診所公告,桃園市桃園區民光東路107號,03-3339995,,False,['Moderna']
桃園市,中壢區,吳瑞瓊小兒科診所,依診所公告,桃園市中壢區元化路75號,03-4268833,,False,['Moderna']
桃園市,桃園區,衛生福利部桃園醫院,依預約網站公告,桃園市桃園區中山路1492號,03-3699721,https://tyghnetreg.tygh.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_NetReg.aspx,True,"['AZ', 'Moderna']"
桃園市,桃園區,敏盛綜合醫院,依預約網站公告,桃園市桃園區經國路168號,03-3179599,http://www.e-ms.com.tw/Message/MessageContents.aspx?MessageID=11155,True,"['AZ', 'Moderna']"
桃園市,桃園區,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,依預約網站公告,桃園市桃園區建新街123號,03-3613141,https://www.sph.org.tw/registration/registration-online-home.html,True,"['AZ', 'Moderna']"
桃園市,桃園區,臺北榮民總醫院桃園分院,依預約網站公告,桃園市桃園區成功路三段100號,03-3384889,https://docs.google.com/forms/d/e/1FAIpQLSdDNhDZEz1B_OKjig4X1iq-NPgR2wJuVpB7ROOc326DjC8G0Q/viewform,True,"['AZ', 'Moderna']"
桃園市,桃園區,何翊菁診所,依診所公告,桃園市桃園區中埔六街123號1樓,03-3551466,,False,"['AZ', 'Moderna']"
桃園市,桃園區,顧小兒科診所,依診所公告,桃園市桃園區國際路一段1146號,03-2202364,,False,['Moderna']
桃園市,桃園區,聖德診所,依診所公告,桃園市桃園區大興西路二段69巷3號1樓,03-3562319,,True,"['AZ', 'Moderna']"
桃園市,桃園區,振興診所,依診所公告,桃園市桃園區中正路527號,03-3332077,,False,['AZ']
桃園市,桃園區,聯新國際醫院桃新分院,依預約網站公告,桃園市桃園區復興路195號,03-3325678,,False,"['AZ', 'Moderna']"
桃園市,桃園區,亞聯親子診所,依診所公告,桃園市桃園區大興西路2段82－1號1樓,03-3013088,,False,['Moderna']
桃園市,桃園區,大順診所,依診所公告,桃園市桃園區南平路302之3號,03-3167585,,False,['Moderna']
桃園市,中壢區,中新小兒科聯合診所,依診所公告,桃園市中壢區中北路二段54號,03-4682832,,False,['Moderna']
桃園市,中壢區,華揚醫院,依預約網站公告,桃園市中壢區中北路二段316號,03-4577200,,True,['AZ']
桃園市,中壢區,東新診所,依診所公告,桃園市中壢區中山東路三段72號,03-4375588,,True,['AZ']
桃園市,中壢區,宏其婦幼醫院,依院所公告,桃園市中壢區元化路223號,03-4618888,,False,['Moderna']
桃園市,中壢區,天成醫療社團法人天晟醫院,依預約網站公告,桃園市中壢區延平路155號,03-4629292,,False,"['AZ', 'Moderna']"
桃園市,中壢區,活悅診所,依臉書專頁公告,桃園市中壢區民權路四段281號1樓,03-2875902,https://forms.gle/1UvyG382EozXd9yS8,True,"['AZ', 'Moderna']"
桃園市,中壢區,中美醫院,依院所公告,桃園市中壢區中美路95號,03-4266222,,True,"['AZ', 'Moderna']"
桃園市,中壢區,林國揆小兒科診所,依診所公告,桃園市中壢區中北路二段402號,03-4387023,,True,['AZ']
