_id,施打站全稱（自動）,施打站縣市（自動）,施打站行政區（自動）,施打站地址（自動）,施打站經度（自動）,施打站緯度（自動）,官方提供網址（自動）,預約電話（自動）,實際預約網址（手動）,爬蟲分類（手動）,醫事機構代碼（自動）,是否現在為施打點？（自動）,Last Modified,備註（手動）,預約方式（手動）,是否可以爬蟲（手動）,爬蟲結果（手動）,爬蟲人（手動）,爬蟲程式碼（手動）,開放預約時間（手動）
rec042pWIkM2XYbPz,彰化基督教醫療財團法人漢銘基督教醫院,彰化縣,彰化市,彰化縣彰化市中山路一段366號,120.535784,24.061299,https://hm.cch.org.tw/news_detial.aspx?cID=1&Key=116,04-7113456,https://hm.cch.org.tw/news_detial.aspx?cID=1&Key=116,彰基醫院系列,1137010051,1,2021-07-11T05:50:20.000Z
rec08cD0RKn76Wh13,臺東縣延平鄉衛生所,臺東縣,延平鄉,臺東縣延平鄉桃源村昇平路11號,121.085663,22.902109,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2346120010,089-561040,https://wecanhelp.ttpush.app/reservation?fbclid=IwAR3c5wtfEVVUpbEv2MN7JRTaS-3r_BGOqDsR67Qk_Kn0Uw8bA4V02JjgdcQ,台東縣預約系統系列,2346120010,1,2021-07-11T11:05:50.000Z,"需要驗證身份 by SL",預約系統
rec0AWIzBqlCkyReN,卓醫院,彰化縣,北斗鎮,彰化縣北斗鎮西安里中山路一段311號,120.51554,23.872278,https://docs.google.com/forms/d/e/1FAIpQLSdpYfIuWqdcQ295WbggrKmRa9fZUlBUNQmZEvt6pwV9yqYmXg/viewform,04-8882995,,,1537040066,1,2021-07-11T05:50:20.000Z,"無法找到任何資料
",
rec0FuMJbi7riIuKY,衛生福利部雙和醫院(委託臺北醫學大學興建經營),新北市,中和區,新北市中和區中正路291號,121.494082,24.993746,"https://www.shh.org.tw/page/ShhregVaccine.aspx
",02-22490088,https://www.shh.org.tw/page/ShhregVaccine.aspx,北醫系列,1331040513,1,2021-07-11T11:05:50.000Z,,掛號系統
rec0GpEaNU2mmptpo,東港靜思堂(東港衛生所站),屏東縣,東港鎮,928台灣屏東縣東港鎮,120.4634753,22.471462,,"08 832 5310",,,,,2021-07-11T15:18:58.000Z,各縣市資料,
rec0HMofu1o1WZTxb,衛生福利部臺南醫院,臺南市,中西區,臺南市中西區中山路125號,120.209228,22.995819,https://tnweb.tnhosp.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0172&Date=&Noon=,06-2200055,https://tnweb.tnhosp.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0172&Date=&Noon=,衛福部系列,0121050011,1,2021-07-11T05:50:20.000Z,,
rec0zmpzHZeDJ6GRu,萬華劉小兒科診所,臺北市,萬華區,臺北市萬華區康定路158號,121.50183747908,25.039593480386,,02-2381-3156,,,,,2021-07-11T15:20:00.000Z,各縣市資料,,
rec10tGur6RH3c2aN,慈安診所,臺南市,仁德區,台南市仁德區太子路352-1號,,,,06-2739003,,,,,2021-07-11T15:22:16.000Z,各縣市資料,,
rec166bJYT1XEYobJ,國泰醫療財團法人新竹國泰綜合醫院,新竹市,東區,新竹市東區福德里中華路二段678號及678號之1,120.964932,24.798739,https://reg.cgh.org.tw/tw/reg/main_01.jsp,03-5278999,https://reg.cgh.org.tw/tw/reg/main_01.jsp,國泰醫院系列,1112010528,1,2021-07-11T11:05:50.000Z,,掛號系統,
rec17GSxM1bdBo3bY,安泰醫療社團法人潮州安泰醫院,屏東縣,潮州鎮,屏東縣潮州鎮三星里四維路162及193號,120.546964,22.554031,http://ppt.cc/fQrwMx,08-7800888,,,0943020013,1,2021-07-11T05:50:20.000Z,"目前沒在幫忙打疫苗
by SL",,
rec17jbNqP7hBkoR8,新北市淡水區衛生所,新北市,淡水區,新北市淡水區中山路158號,121.440844,25.172778,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2331100015,02-26215620,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,新北市衛生局系列,2331100015,1,2021-07-11T11:05:50.000Z,,預約系統,是
rec1B8TFIRO2zt0bc,天成醫療社團法人天晟醫院,桃園市,中壢區,桃園市中壢區延平路155號,121.229069,24.962598,"http://www.tcmg.com.tw/register/register_1_detail.php?deptID=0089&deptName=Covid-19%E7%96%AB%E8%8B%97%E6%8E%A5%E7%A8%AE%E9%96%80%E8%A8%BA
",03-4629292,http://www.tcmg.com.tw/register/register_1.php,天成醫院系統,0932020025,1,2021-07-11T05:50:20.000Z,,,
rec1BZpw5YpKktfs1,龍江小兒科診所,臺北市,中山區,臺北市中山區龍江路181-1號1樓,121.54071742675,25.055313191635,,02-2515-2433,,,,,2021-07-11T15:19:27.000Z,各縣市資料,,
rec1BiJRMYEXnsV7g,陳森豊診所,臺北市,內湖區,臺北市內湖區環山路一段2號,121.5653917374,25.082795938575,,02-2799-0361,,,,,2021-07-11T15:19:34.000Z,各縣市資料,,
rec1EEUTMBaNWwKgz,佑康診所,臺南市,關廟區,台南市關廟區中山路一段620巷7號,,,,06-5967581,,,,,2021-07-11T15:23:02.000Z,各縣市資料,,
rec1PcondInDI16Sf,馬思特診所,臺北市,內湖區,臺北市內湖區成功路四段53號1樓,121.59208447963,25.081665623666,,02-2792-5994,,,,,2021-07-11T15:19:34.000Z,各縣市資料,,
rec1QqkPypxbSkRUY,臺北市立聯合醫院附設內湖門診部,臺北市,內湖區,臺北市內湖區民權東路6段99號,121.58892300678,25.069225770271,,,,,,,2021-07-11T15:19:10.000Z,各縣市資料,,
rec1YWPkCaVDLmVZW,周劍文診所,臺南市,永康區,台南市永康區小東路423巷2號,,,,06-3110218,,,,,2021-07-11T15:22:25.000Z,各縣市資料,,
rec1dmpqRd96kifw2,呂怡璋小兒科診所,臺南市,東區,台南市東區前鋒路41號,,,,06-2748014,,,,,2021-07-11T15:22:44.000Z,各縣市資料,,
rec1fgBuIReZXrN44,曾建昌內小兒科診所,臺南市,新營區,台南市新營區中山路202號,,,,06-6359119,,,,,2021-07-11T15:23:00.000Z,各縣市資料,,
rec1kuDtD6bztJUEo,新北市烏來區衛生所,新北市,烏來區,新北市烏來區新烏路5段109號,121.547977,24.871966,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2331290014,02-26617200,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,新北市衛生局系列,2331290014,1,2021-07-11T11:05:50.000Z,,預約系統,是
rec1pEk2YHJAquPfP,澎湖縣馬公市第二衛生所,澎湖縣,馬公市,澎湖縣馬公市鎖港里240號,119.600866,23.529357,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2344011027,06-9951354,https://docs.google.com/forms/d/e/1FAIpQLScydIipaylukL2l-FUoC5ls7zjXSi6f_fO_rUvvt6tjHBc4pQ/viewform,google表單系列,2344011027,1,2021-07-11T11:05:50.000Z,,google表單,
rec1qea1r0kLqLGgV,屏東縣屏東市衛生所,屏東縣,屏東市,屏東縣屏東市北興里中正路419號,120.482435,22.665064,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2343010017,08-7538701,,,2343010017,1,2021-07-11T05:50:20.000Z,"無線上預約 by SL",,
rec1sL4332lygGaOG,康庭小兒科診所,臺南市,新營區,台南市新營區三民路106-12號,,,,06-6331666,,,,,2021-07-11T15:22:58.000Z,各縣市資料,,
rec1ycQOB9RK1QqAr,彭亞萱小兒科診所,臺南市,東區,台南市東區崇明路477號,,,,06-2899047,,,,,2021-07-11T15:22:47.000Z,各縣市資料,,
rec23cr2dN6E1hfqh,李志超小兒科診所,臺南市,東區,台南市東區裕信路421號,,,,06-3314238,,,,,2021-07-11T15:22:42.000Z,各縣市資料,,
rec25gAK370151abv,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,新北市,板橋區,新北市板橋區南雅南路2段21號及高爾富路300號,121.452312,24.997312,"https://www.femh.org.tw/research/news_detail.aspx?Class=0&NewsNo=13649
",02-89667000,https://hos.femh.org.tw/newfemh/webreg_net/vacccontent.aspx,醫院各自系統,1131010011,1,2021-07-11T11:05:50.000Z,,掛號系統,是
rec285EFriGzH4AXG,新北市泰山區衛生所,新北市,泰山區,新北市泰山區全興路212號3樓,121.433653,25.056131,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2331160011,02-22962858,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,新北市衛生局系列,2331160011,1,2021-07-11T11:05:50.000Z,,預約系統,是
rec2DUqtoXaQquLzY,崇仁內科診所,臺南市,仁德區,台南市仁德區中山路515號,,,,06-2793311,,,,,2021-07-11T15:22:16.000Z,各縣市資料,,
rec2M24kUTIaqlOXP,國軍新竹地區醫院附設民眾診療服務處,新竹市,北區,新竹市北區武陵路3號,120.961442,24.815974,https://813.mnd.gov.tw/,03-5348181,,國軍醫院系列,0512040014,1,2021-07-11T11:05:50.000Z,"找不到預約
網頁＠＠
",不詳,
rec2NSThRTtkZgiVx,南門醫院,屏東縣,東區,300台灣新竹市東區林森路20號,120.7453672,22.0009266,,"03 526 1122",,,,,2021-07-11T15:19:03.000Z,各縣市資料,,
rec2OvzJOxvPIWflf,佳音診所,臺北市,大安區,臺北市大安區復興南路一段261-3號,121.54387660859,25.036222422398,,02-2705-4430,,,,,2021-07-11T15:19:23.000Z,各縣市資料,,
rec2S2bJhKS0cgW8t,臺南市七股區衛生所,臺南市,七股區,臺南市七股區大埕里379號,,,,06-7872277,,,,,2021-07-11T15:22:09.000Z,各縣市資料,,
rec2TrgjK0PoxHO9W,彰化縣北斗鎮衛生所,彰化縣,北斗鎮,彰化縣北斗鎮光復里地政路406巷17號,120.524902,23.875143,https://bedphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNtmJuYocja,04-8882059,,彰化衛生所系列,2337040018,1,2021-07-11T05:50:20.000Z,"僅提供電話報名
",,
rec2d0HLgmP4HJ6ph,彰化縣福興鄉衛生所,彰化縣,福興鄉,彰化縣福興鄉福興村福興路51巷2號,120.427893,24.04744,https://fusphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNqnJiYocja,04-7772371,,彰化衛生所系列,2337110015,1,2021-07-11T05:50:20.000Z,"僅提供電話報名
",,
rec2dRmdUzZBSb8Di,雲林縣四湖鄉衛生所,雲林縣,四湖鄉,雲林縣四湖鄉施湖村中山西路118號,120.221715,23.637843,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2339180015,05-7872890,,,2339180015,1,2021-07-11T05:50:20.000Z,無任何網路資訊,,
rec2fXq4863twcUA1,新北市金山區衛生所,新北市,金山區,新北市金山區中山路257號4樓,121.636872,25.222094,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2331270012,02-24984807,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,新北市衛生局系列,2331270012,1,2021-07-11T11:05:50.000Z,,預約系統,是
rec2ghBi4QKDfNV73,屏東縣內埔鄉衛生所,屏東縣,內埔鄉,屏東縣內埔鄉內埔村中興路191號,120.569014,22.612404,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2343130014,08-7792414,,,2343130014,1,2021-07-11T05:50:20.000Z,"無線上預約 by SL",,
rec2hnrrdhc3dYFx1,新北市新莊區衛生所,新北市,新莊區,新北市新莊區中華路1段2號1至4樓,121.452248,25.036408,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2331060016,02-29967123,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,新北市衛生局系列,2331060016,1,2021-07-11T11:05:50.000Z,,預約系統,是
rec2niY45ABAES6IY,新北市萬里區衛生所,新北市,萬里區,新北市萬里區瑪鍊路157號1－3樓及地下1樓,121.689713,25.178332,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2331280018,02-24921117,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,新北市衛生局系列,2331280018,1,2021-07-11T11:05:50.000Z,,預約系統,是
rec2olrKO8jKNA3uE,屏東縣九如鄉衛生所,屏東縣,九如鄉,屏東縣九如鄉九如路二段247號,120.489176,22.73614,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2343080019,08-7392006,,,2343080019,1,2021-07-11T05:50:20.000Z,"無線上預約 by SL",,
rec2qGiY9DLRdfQeF,臺南巿北區衛生所,臺南市,北區,臺南市北區公園里西華街50號,,,,06-2252404,,,,,2021-07-11T15:22:04.000Z,各縣市資料,,
rec2sN0xt3ESfI3OO,臺安醫院健康管理大樓4樓,臺北市,松山區,台北市松山區八德路二段424號,121.54727710478,25.048053134729,,,,,,,2021-07-11T15:20:04.000Z,各縣市資料,,
rec2sslhJlx7HdEwY,蓋德診所,臺南市,六甲區,台南市六甲區中正路178號,,,,06-6986777,,,,,2021-07-11T15:22:19.000Z,各縣市資料,,
rec2vDtTsML4gSoN5,高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),高雄市,小港區,高雄市小港區山明里山明路482號Ｂ1－10樓,120.363369,22.567467,https://www.kmsh.org.tw/web/BookVaccineSysInter,07-8036783,https://www.kmsh.org.tw/web/BookVaccineSysInter,高醫大系列,1102110011,1,2021-07-11T05:50:20.000Z,,,
rec2yD1OSm8xAy93M,王慶森診所,臺北市,內湖區,臺北市內湖區港墘路65號1樓,121.57828621673,25.081175256125,,02-​2798-6052,,,,,2021-07-11T15:19:34.000Z,各縣市資料,,
rec32j2rjQLI8cgA1,衛生福利部金門醫院,金門縣,金湖鎮,金門縣金湖鎮復興路2號、烈嶼鄉上林村后井37號（烈嶼院區）,118.418001,24.440588,https://www.kmhp.mohw.gov.tw/,082-332546,https://netreg.kmhp.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_NetReg.aspx,衛福部系列,0190030516,1,2021-07-11T11:05:50.000Z,,掛號系統,
rec33dvaSJnK5MKvK,聯醫和平院區A棟1樓,臺北市,中正區,台北市中正區中華路2段33號,121.50670284561,25.035591473956,,,,,,,2021-07-11T15:20:07.000Z,各縣市資料,,
rec34FQdSPRILn1Mi,祐民聯合診所,臺北市,北投區,臺北市北投區中央南路一段207號,121.50134125034,25.128338489301,,02-2895-1301,,,,,2021-07-11T15:19:46.000Z,各縣市資料,,
rec3FN3HIUYcL171e,民生國小,臺北市,松山區,台北市松山區敦化北路199巷18號,121.55204440679,25.056508959714,,,,,,,2021-07-11T15:20:02.000Z,各縣市資料,,
rec3R6NQlxhOsiSdz,心福內科診所,臺北市,士林區,臺北市士林區中山北路六段167號1、2樓,121.52486100244,25.107169281042,,02-2833-1115,,,,,2021-07-11T15:19:17.000Z,各縣市資料,,
rec3XRmccUc0352cM,東基醫療財團法人台東基督教醫院,臺東縣,台東市,臺東縣臺東市開封街350號,121.146016,22.763821,https://www.tch.org.tw/TCRG2/opd/service-e.aspx?id=1901&Page=11&#p,089-960888,https://www.tch.org.tw/TCRG2/opd/service-e.aspx?id=1901&Page=11&#p,醫院各自系統,1146010032,1,2021-07-11T11:05:50.000Z,,掛號系統,
rec3XUmBKdqYCOP35,彰化縣埔心鄉衛生所,彰化縣,埔心鄉,彰化縣埔心鄉義民村員鹿路2段340號,120.54387,23.952987,https://pusphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNsmpOYocja,04-8294611,,彰化衛生所系列,2337170011,1,2021-07-11T05:50:20.000Z,"僅提供電話報名
",,
rec3ZF8APdy2duH3d,焉醫師診所,臺北市,內湖區,臺北市內湖區內湖路二段21號,121.57949670853,25.07888561396,,02-​2799-5008,,,,,2021-07-11T15:19:32.000Z,各縣市資料,,
rec3ZHNuM8rH67g7w,國立臺灣大學醫學院附設醫院雲林分院(虎尾院區),雲林縣,虎尾鎮,雲林縣虎尾鎮學府路95號,120.4247582,23.7350349,https://web.ylh.gov.tw/covid-19/,(05)633-0002,https://web.ylh.gov.tw/covid-19/,台大醫院系列,0439010518,1,2021-07-11T05:50:20.000Z,,,
rec3a6VHrocEFgFOo,佳安診所,臺北市,萬華區,臺北市萬華區青年路34號,121.50459954824,25.025638719295,,02-2332-0898,,,,,2021-07-11T15:20:02.000Z,各縣市資料,,
rec3kkbVI7aF29nXL,臺南市官田區衛生所,臺南市,官田區,臺南市官田區隆田里中山路一段128號,,,,06-5791493,,,,,2021-07-11T15:22:06.000Z,各縣市資料,,
rec3koGzmuyTwgMYN,黃正宏診所,臺北市,北投區,臺北市北投區西安街一段359號,121.51531375334,25.114288282173,,02-2821-7076,,,,,2021-07-11T15:19:44.000Z,各縣市資料,,
rec3wKcB1K40e5642,南投縣南投市衛生所,南投縣,南投市,南投縣南投市三和里三和一路13號,120.68876,23.902507,https://docs.google.com/forms/d/e/1FAIpQLSchMQzk77gl8fGhnq9YVLCnz3wUxWFhnXYbCGAqrJxjaapb4g/viewform,049-2223264,,,2338010014,1,2021-07-11T05:50:20.000Z,"不再使用連結報名，
僅提供電話報名
",,
rec3yL74Y2YMOxXGG,陳信宏小兒科診所,臺南市,麻豆區,台南市麻豆區民生路36之8號,,,,06-5719889,,,,,2021-07-11T15:22:52.000Z,各縣市資料,,
rec3ykFz1OKSWu5IA,德安小兒科診所,臺南市,永康區,台南市永康區永大路二段1538號,,,,06-2032000,,,,,2021-07-11T15:22:23.000Z,各縣市資料,,
rec411OEILCGZiMwd,長庚醫療財團法人嘉義長庚紀念醫院,嘉義縣,朴子市,嘉義縣朴子市仁和里長庚一路6號及嘉朴路西段8號,120.284043,23.464805,https://register.cgmh.org.tw/Department/6/60990D,05-3621000,https://register.cgmh.org.tw/Department/6/60990D,長庚醫院系列,1140010510,1,2021-07-11T05:50:20.000Z,,,
rec42S1qxNhryTK6Z,那明珠診所,臺北市,大安區,臺北市大安區和平東路3段8號,121.5469578303,25.024528868351,,02-2736-0589,,,,,2021-07-11T15:19:20.000Z,各縣市資料,,
rec46bfE5PPUwaPsB,輔英科技大學附設醫院,屏東縣,東港鎮,屏東縣東港鎮興台里中山路5號,120.452734,22.465198,https://reg.fy.org.tw/fyrg/opd/service-e.aspx?id=1900&Page=11&#p,08-8323146,,,1343030018,1,2021-07-11T05:50:20.000Z,"看不出來有沒有在幫忙打疫苗？ by SL",,
rec49IINOjvCnDc22,長庚醫療財團法人臺北長庚紀念醫院,臺北市,松山區,臺北市松山區敦化北路199號,121.549618,25.055508,https://register.cgmh.org.tw/Department/1/10990D,02-27135211,https://register.cgmh.org.tw/Register/1,長庚醫院系列,1101010012,1,2021-07-11T11:05:50.000Z,,掛號系統,是
rec4EeQZUYBdufHty,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,新北市,淡水區,新北市淡水區民生路45號、民權路47號B1至10樓,121.460499,25.139534,"https://www.mmh.org.tw/webpage.php?id=209
",02-28094661,https://www.mmh.org.tw/webpage.php?id=209,馬偕醫院系列,1131100010,1,2021-07-11T11:05:50.000Z,,掛號系統,是
rec4JNOvhVht0hDRH,賴冠維診所,臺南市,六甲區,台南市六甲區復興街55號,,,,06-6990990,,,,,2021-07-11T15:22:16.000Z,各縣市資料,,
rec4MKvHiwFTMqqBV,臺南市下營區衛生所,臺南市,下營區,臺南市下營區營前里中山路二段137號,,,,06-6892149,,,,,2021-07-11T15:22:06.000Z,各縣市資料,,
rec4SXSQIWINDAkfF,魏大倫耳鼻喉科診所,臺南市,安南區,台南市安南區安和路一段356號1樓,,,,06-2568119,,,,,2021-07-11T15:22:37.000Z,各縣市資料,,
rec4Sd4Xa4bVb93sY,秀傳醫療社團法人秀傳紀念醫院,彰化縣,彰化市,彰化縣彰化市南瑤里中山路1段542號,120.537508,24.064786,https://www.scmh.org.tw/RegCal.aspx?Dept=MM&Kind=2,04-7256166,https://www.scmh.org.tw/RegCal.aspx?Dept=MM&Kind=2,秀傳系列,0937010019,1,2021-07-11T05:50:20.000Z,,,
rec4Su5q4UD43yI40,王界三小兒科診所,臺南市,北區,台南市北區文賢路1068號,,,,06-3583770,,,,,2021-07-11T15:22:21.000Z,各縣市資料,,
rec4X5z29yxoeJlYv,安南高家醫聯合診所,臺南市,安南區,台南市安南區安中路二段166號,,,,06-2475699,,,,,2021-07-11T15:22:37.000Z,各縣市資料,,
rec4Z22DzyfaL0lhq,桃園市大園區衛生所,桃園市,大園區,桃園市大園區田心里中正西路19號,121.195483,25.063355,https://forms.gle/owyw8DQ1zXVfCw9ZA,03-3862024,https://forms.gle/owyw8DQ1zXVfCw9ZA,google表單系列,2332060010,1,2021-07-11T05:50:20.000Z,,,
rec4aFjD96vqxaN1u,杏禾小兒科診所,臺南市,東區,台南市東區仁和路67-5號1樓,,,,06-2671658,,,,,2021-07-11T15:22:47.000Z,各縣市資料,,
rec4anDpFt0YGwADE,婦兒安診所,臺南市,東區,#1210台南市東區中華東路3段46號,,,,06-2894488,,,,,2021-07-11T15:22:44.000Z,各縣市資料,,
rec4e8vcLfaAx5wxC,天主教耕莘醫療財團法人永和耕莘醫院,新北市,永和區,新北市永和區中興街80號Ｂ1-7樓、國光路123號Ｂ3-11樓,121.51787,25.011873,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1231030015,02-29286060,http://hnetreg.cthyh.org.tw:8080/LeftVaccine/index_covid19,,1231030015,1,2021-07-11T11:05:50.000Z,"預約頁面看來是死掉了 by SL",不詳,
rec4fzZ8fqk5YnGQL,林邊鄉衛生所,屏東縣,林邊鄉,927台灣屏東縣林邊鄉,120.5094066,22.4311188,,"08 875 2076",,,,,2021-07-11T15:19:06.000Z,各縣市資料,,
rec4gcVC05y0SbrDF,澎湖縣望安鄉將軍衛生所,澎湖縣,望安鄉,澎湖縣望安鄉將軍村12鄰將軍澳1之3號,119.521569,23.361504,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2344050024,06-9902066,https://docs.google.com/forms/d/e/1FAIpQLScydIipaylukL2l-FUoC5ls7zjXSi6f_fO_rUvvt6tjHBc4pQ/viewform,google表單系列,2344050024,1,2021-07-11T11:05:50.000Z,,google表單,
rec4iZl16vsnhuFoE,楊宏義小兒科診所,臺南市,北區,台南市北區開元路426號,,,,06-2742678,,,,,2021-07-11T15:22:21.000Z,各縣市資料,,
